Unit,Unit Name,Topic,Molecule,Category,Source,Identifier,Fetch URL,View Page,Render Tier,Priority,ID Confidence,Teaching Note,CID,Has 3D,Stereo
2,Cell Structure & Function,Cytoskeleton,Collagen triple helix,Structural protein,PDB,1CAG,https://files.rcsb.org/download/1CAG.pdb,RCSB 1CAG,Cartoon,Standard,High,Extracellular matrix; glycine every third residue.,,,
2,Cell Structure & Function,Cytoskeleton,Clathrin cage,Complex,PDB,3IYV,https://files.rcsb.org/download/3IYV.pdb,RCSB 3IYV,Surface/Complex,Extended,High,Receptor-mediated endocytosis vesicle coat.,,,
3,Cellular Energetics,Energy carriers,ATP,Energy carrier,PubChem,adenosine triphosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/adenosine%20triphosphate/record/SDF/?record_type=3d,PubChem: adenosine triphosphate,Ball-and-stick,Core,Verified · C10H16N5O13P3,Three phosphates; highlight the phosphoanhydride bonds.,5957,yes,pinned (4)
3,Cellular Energetics,Energy carriers,ADP,Energy carrier,PubChem,adenosine diphosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/adenosine%20diphosphate/record/SDF/?record_type=3d,PubChem: adenosine diphosphate,Ball-and-stick,Core,Verified · C10H15N5O10P2,Show ATP/ADP + Pi cycle as a morph animation.,6022,yes,pinned (4)
3,Cellular Energetics,Energy carriers,AMP,Energy carrier,PubChem,adenosine monophosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/adenosine%20monophosphate/record/SDF/?record_type=3d,PubChem: adenosine monophosphate,Ball-and-stick,Standard,Verified · C10H14N5O7P,Also the RNA nucleotide - link back to Unit 1.,6083,yes,pinned (4)
3,Cellular Energetics,Energy carriers,Phosphate ion,Inorganic,PubChem,phosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/phosphate/record/SDF/?record_type=3d,PubChem: phosphate,Ball-and-stick,Core,Verified · O4P-3,The Pi in ATP + H2O -> ADP + Pi.,1061,yes,pinned (achiral)
3,Cellular Energetics,Energy carriers,NAD+,Electron carrier,PubChem,NAD,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/NAD/record/SDF/?record_type=3d,PubChem: NAD,Ball-and-stick,Core,Verified · C21H27N7O14P2,Oxidized carrier; positive charge on nicotinamide ring.,5892,yes,pinned (8)
3,Cellular Energetics,Energy carriers,NADH,Electron carrier,PubChem,NADH,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/NADH/record/SDF/?record_type=3d,PubChem: NADH,Ball-and-stick,Core,Verified · C21H29N7O14P2,Reduced form - show the added hydride on the ring.,439153,yes,pinned (8)
3,Cellular Energetics,Energy carriers,FAD,Electron carrier,PubChem,FAD,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/FAD/record/SDF/?record_type=3d,PubChem: FAD,Ball-and-stick,Standard,Ambiguous,Flavin carrier; enters ETC at Complex II.,,,
3,Cellular Energetics,Energy carriers,FADH2,Electron carrier,PubChem,FADH2,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/FADH2/record/SDF/?record_type=3d,PubChem: FADH2,Ball-and-stick,Standard,Verified (no 3D) · C27H35N9O15P2,Reduced flavin; yields fewer ATP than NADH.,446013,no,pinned (7)
3,Cellular Energetics,Energy carriers,NADP+,Electron carrier,PubChem,NADP,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/NADP/record/SDF/?record_type=3d,PubChem: NADP,Ball-and-stick,Standard,Verified · C21H28N7O17P3,Photosynthesis carrier; extra phosphate distinguishes it.,5885,yes,pinned (8)
3,Cellular Energetics,Energy carriers,NADPH,Electron carrier,PubChem,NADPH,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/NADPH/record/SDF/?record_type=3d,PubChem: NADPH,Ball-and-stick,Core,Verified · C21H30N7O17P3,Light reaction product feeding the Calvin cycle.,5884,yes,pinned (8)
3,Cellular Energetics,Energy carriers,Coenzyme A,Cofactor,PubChem,coenzyme A,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/coenzyme%20A/record/SDF/?record_type=3d,PubChem: coenzyme A,Ball-and-stick,Standard,Verified (no 3D) · C21H36N7O16P3S,Thiol carrier of acyl groups.,87642,no,pinned (5)
3,Cellular Energetics,Energy carriers,Acetyl-CoA,Metabolite,PubChem,acetyl-CoA,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/acetyl-CoA/record/SDF/?record_type=3d,PubChem: acetyl-CoA,Ball-and-stick,Core,Verified (no 3D) · C23H38N7O17P3S,"Junction of glycolysis, Krebs, and fat metabolism.",444493,no,pinned (5)
3,Cellular Energetics,Energy carriers,GTP,Energy carrier,PubChem,guanosine triphosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/guanosine%20triphosphate/record/SDF/?record_type=3d,PubChem: guanosine triphosphate,Ball-and-stick,Extended,Verified (no 3D) · C10H16N5O14P3,Krebs cycle substrate-level product; Unit 4 G proteins.,135398633,no,pinned (4)
3,Cellular Energetics,Glycolysis,Glucose 6-phosphate,Metabolite,PubChem,glucose 6-phosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/glucose%206-phosphate/record/SDF/?record_type=3d,PubChem: glucose 6-phosphate,Ball-and-stick,Standard,Verified · C6H13O9P,First investment step; traps glucose in the cell.,5958,yes,1 UNDEFINED
3,Cellular Energetics,Glycolysis,"Fructose 1,6-bisphosphate",Metabolite,PubChem,"fructose 1,6-bisphosphate",https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/fructose%201%2C6-bisphosphate/record/SDF/?record_type=3d,"PubChem: fructose 1,6-bisphosphate",Ball-and-stick,Standard,Verified · C6H14O11P2,Committed step; PFK regulation point.,445555,yes,pinned (4)
3,Cellular Energetics,Glycolysis,Dihydroxyacetone phosphate,Metabolite,PubChem,dihydroxyacetone phosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/dihydroxyacetone%20phosphate/record/SDF/?record_type=3d,PubChem: dihydroxyacetone phosphate,Ball-and-stick,Extended,Verified · C3H7O6P,One of the two 3-carbon split products.,668,yes,pinned (achiral)
3,Cellular Energetics,Glycolysis,Glyceraldehyde 3-phosphate,Metabolite,PubChem,glyceraldehyde 3-phosphate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/glyceraldehyde%203-phosphate/record/SDF/?record_type=3d,PubChem: glyceraldehyde 3-phosphate,Ball-and-stick,Core,Ambiguous,Appears in BOTH glycolysis and the Calvin cycle.,,,
3,Cellular Energetics,Glycolysis,"1,3-Bisphosphoglycerate",Metabolite,PubChem,"1,3-bisphosphoglycerate",https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/1%2C3-bisphosphoglycerate/record/SDF/?record_type=3d,"PubChem: 1,3-bisphosphoglycerate",Ball-and-stick,Extended,Ambiguous,High-energy intermediate.,,,
3,Cellular Energetics,Glycolysis,3-Phosphoglycerate,Metabolite,PubChem,3-phosphoglycerate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/3-phosphoglycerate/record/SDF/?record_type=3d,PubChem: 3-phosphoglycerate,Ball-and-stick,Standard,Verified · C3H7O7P,Also the first stable Calvin cycle product.,724,yes,1 UNDEFINED
3,Cellular Energetics,Glycolysis,Phosphoenolpyruvate,Metabolite,PubChem,phosphoenolpyruvate,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/phosphoenolpyruvate/record/SDF/?record_type=3d,PubChem: phosphoenolpyruvate,Ball-and-stick,Standard,Verified · C3H5O6P,Substrate-level phosphorylation donor; C4 photosynthesis.,1005,yes,pinned (achiral)
3,Cellular Energetics,Glycolysis,Pyruvate,Metabolite,PubChem,pyruvic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/pyruvic%20acid/record/SDF/?record_type=3d,PubChem: pyruvic acid,Ball-and-stick,Core,Verified · C3H4O3,Glycolysis endpoint; branch to fermentation or Krebs.,1060,yes,pinned (achiral)
3,Cellular Energetics,Fermentation,Lactate,Metabolite,PubChem,lactic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/lactic%20acid/record/SDF/?record_type=3d,PubChem: lactic acid,Ball-and-stick,Core,Verified · C3H6O3,Regenerates NAD+ in animals.,612,yes,1 UNDEFINED
3,Cellular Energetics,Fermentation,Acetaldehyde,Metabolite,PubChem,acetaldehyde,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/acetaldehyde/record/SDF/?record_type=3d,PubChem: acetaldehyde,Ball-and-stick,Standard,Verified · C2H4O,Intermediate in alcoholic fermentation.,177,yes,pinned (achiral)
3,Cellular Energetics,Fermentation,Ethanol,Metabolite,PubChem,ethanol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ethanol/record/SDF/?record_type=3d,PubChem: ethanol,Ball-and-stick,Core,Verified · C2H6O,Yeast fermentation product; CO2 released alongside.,702,yes,pinned (achiral)
3,Cellular Energetics,Krebs cycle,Citrate,Metabolite,PubChem,citric acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/citric%20acid/record/SDF/?record_type=3d,PubChem: citric acid,Ball-and-stick,Core,Verified · C6H8O7,6-carbon start of the cycle.,311,yes,pinned (achiral)
3,Cellular Energetics,Krebs cycle,Isocitrate,Metabolite,PubChem,isocitric acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/isocitric%20acid/record/SDF/?record_type=3d,PubChem: isocitric acid,Ball-and-stick,Extended,Verified · C6H8O7,Isomerization step.,1198,yes,2 UNDEFINED
3,Cellular Energetics,Krebs cycle,Alpha-ketoglutarate,Metabolite,PubChem,alpha-ketoglutaric acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/alpha-ketoglutaric%20acid/record/SDF/?record_type=3d,PubChem: alpha-ketoglutaric acid,Ball-and-stick,Standard,Verified · C5H6O5,5-carbon; first CO2 released.,51,yes,pinned (achiral)
3,Cellular Energetics,Krebs cycle,Succinyl-CoA,Metabolite,PubChem,succinyl-CoA,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/succinyl-CoA/record/SDF/?record_type=3d,PubChem: succinyl-CoA,Ball-and-stick,Extended,Verified (no 3D) · C25H40N7O19P3S,Precedes substrate-level phosphorylation.,92133,no,pinned (5)
3,Cellular Energetics,Krebs cycle,Succinate,Metabolite,PubChem,succinic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/succinic%20acid/record/SDF/?record_type=3d,PubChem: succinic acid,Ball-and-stick,Standard,Verified · C4H6O4,Substrate for Complex II.,1110,yes,pinned (achiral)
3,Cellular Energetics,Krebs cycle,Fumarate,Metabolite,PubChem,fumaric acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/fumaric%20acid/record/SDF/?record_type=3d,PubChem: fumaric acid,Ball-and-stick,Standard,Verified · C4H4O4,trans double bond formed by FAD reduction.,444972,yes,pinned (achiral)
3,Cellular Energetics,Krebs cycle,Malate,Metabolite,PubChem,malic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/malic%20acid/record/SDF/?record_type=3d,PubChem: malic acid,Ball-and-stick,Standard,Verified · C4H6O5,Also the CAM/C4 carbon shuttle.,525,yes,1 UNDEFINED
3,Cellular Energetics,Krebs cycle,Oxaloacetate,Metabolite,PubChem,oxaloacetic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/oxaloacetic%20acid/record/SDF/?record_type=3d,PubChem: oxaloacetic acid,Ball-and-stick,Core,Verified · C4H4O5,Regenerated acceptor - closes the cycle.,970,yes,pinned (achiral)
3,Cellular Energetics,Krebs cycle,Malonate,Inhibitor,PubChem,malonic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/malonic%20acid/record/SDF/?record_type=3d,PubChem: malonic acid,Ball-and-stick,Core,Verified · C3H4O4,Competitive inhibitor of succinate dehydrogenase. Overlay with succinate.,867,yes,pinned (achiral)
3,Cellular Energetics,Electron transport,"Ubiquinone (CoQ, oxidized)",Electron carrier,PubChem,ubiquinone,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ubiquinone/record/SDF/?record_type=3d,PubChem: ubiquinone,Ball-and-stick,Standard,Not found,Mobile lipid-soluble carrier in the inner membrane.,,,
3,Cellular Energetics,Electron transport,Ubiquinol (reduced),Electron carrier,PubChem,ubiquinol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ubiquinol/record/SDF/?record_type=3d,PubChem: ubiquinol,Ball-and-stick,Extended,Verified (no 3D) · C59H92O4,Reduced state - morph between the two.,9962735,no,pinned (achiral)
3,Cellular Energetics,Electron transport,Heme b,Cofactor,PubChem,heme b,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/heme%20b/record/SDF/?record_type=3d,PubChem: heme b,Ball-and-stick,Standard,Ambiguous,Iron center that cycles Fe2+/Fe3+.,,,
3,Cellular Energetics,Electron transport,Cytochrome c,Protein,PDB,3CYT,https://files.rcsb.org/download/3CYT.pdb,RCSB 3CYT,Cartoon,Core,High,Small mobile carrier. Also the molecular-clock protein in Unit 7.,,,
3,Cellular Energetics,Electron transport,Complex I (NADH dehydrogenase),Complex,PDB,5XTD,https://files.rcsb.org/download/5XTD.pdb,RCSB 5XTD,Surface/Complex,Standard,Verified,Proton pumping powered by electron transfer.,,,
3,Cellular Energetics,Electron transport,Complex III (bc1),Complex,PDB,1BGY,https://files.rcsb.org/download/1BGY.pdb,RCSB 1BGY,Surface/Complex,Standard,High,Q cycle; pumps protons.,,,
3,Cellular Energetics,Electron transport,Complex IV (cytochrome oxidase),Complex,PDB,1OCC,https://files.rcsb.org/download/1OCC.pdb,RCSB 1OCC,Surface/Complex,Core,High,Final electron acceptor is O2 - makes water.,,,
3,Cellular Energetics,Electron transport,ATP synthase,Complex,PDB,1E79,https://files.rcsb.org/download/1E79.pdb,RCSB 1E79,Surface/Complex,Core,High,Rotary motor. Chemiosmosis made visible - animate the rotor.,,,
3,Cellular Energetics,Photosynthesis,Chlorophyll a,Pigment,PubChem,chlorophyll a,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/chlorophyll%20a/record/SDF/?record_type=3d,PubChem: chlorophyll a,Ball-and-stick,Core,Verified (no 3D) · C55H72MgN4O5,Mg2+ porphyrin + phytol tail. Primary photosynthetic pigment.,12085802,no,pinned (5)
3,Cellular Energetics,Photosynthesis,Chlorophyll b,Pigment,PubChem,chlorophyll b,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/chlorophyll%20b/record/SDF/?record_type=3d,PubChem: chlorophyll b,Ball-and-stick,Core,Verified (no 3D) · C55H70MgN4O6,Accessory pigment; compare absorption spectra.,11593175,no,pinned (5)
3,Cellular Energetics,Photosynthesis,Beta-carotene,Pigment,PubChem,beta-carotene,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/beta-carotene/record/SDF/?record_type=3d,PubChem: beta-carotene,Ball-and-stick,Core,Verified · C40H56,Accessory pigment; conjugated system absorbs blue.,5280489,yes,pinned (achiral)
3,Cellular Energetics,Photosynthesis,Lutein (xanthophyll),Pigment,PubChem,lutein,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/lutein/record/SDF/?record_type=3d,PubChem: lutein,Ball-and-stick,Standard,Verified · C40H56O2,Photoprotection; chromatography lab tie-in.,5281243,yes,pinned (3)
3,Cellular Energetics,Photosynthesis,Photosystem II,Complex,PDB,3WU2,https://files.rcsb.org/download/3WU2.pdb,RCSB 3WU2,Surface/Complex,Core,Verified,Splits water. Contains the Mn4CaO5 cluster.,,,
3,Cellular Energetics,Photosynthesis,Photosystem I,Complex,PDB,1JB0,https://files.rcsb.org/download/1JB0.pdb,RCSB 1JB0,Surface/Complex,Standard,High,Reduces NADP+ to NADPH.,,,
3,Cellular Energetics,Photosynthesis,Plastocyanin,Protein,PDB,1PLC,https://files.rcsb.org/download/1PLC.pdb,RCSB 1PLC,Cartoon,Extended,High,Copper carrier between PSII and PSI.,,,
3,Cellular Energetics,Photosynthesis,Plastoquinone,Electron carrier,PubChem,plastoquinone,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/plastoquinone/record/SDF/?record_type=3d,PubChem: plastoquinone,Ball-and-stick,Extended,Verified (no 3D) · C53H80O2,Mobile carrier in the thylakoid membrane.,5375177,no,pinned (achiral)
3,Cellular Energetics,Photosynthesis,Rubisco,Enzyme,PDB,8RUC,https://files.rcsb.org/download/8RUC.pdb,RCSB 8RUC,Surface/Complex,Core,Verified,Most abundant enzyme on Earth. Carbon fixation; also oxygenates.,,,
3,Cellular Energetics,Photosynthesis,"Ribulose 1,5-bisphosphate",Metabolite,PubChem,"ribulose 1,5-bisphosphate",https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ribulose%201%2C5-bisphosphate/record/SDF/?record_type=3d,"PubChem: ribulose 1,5-bisphosphate",Ball-and-stick,Core,Verified · C5H12O11P2,5-carbon CO2 acceptor in the Calvin cycle.,123658,yes,pinned (2)
3,Cellular Energetics,Enzymes,Hexokinase (open),Enzyme,PDB,2YHX,https://files.rcsb.org/download/2YHX.pdb,RCSB 2YHX,Cartoon,Core,High,Pair with the closed form to show induced fit.,,,
3,Cellular Energetics,Enzymes,"Hexokinase (closed, + glucose)",Enzyme,PDB,1HKB,https://files.rcsb.org/download/1HKB.pdb,RCSB 1HKB,Cartoon,Core,High,Clamped around substrate. The induced-fit payoff shot.,,,
3,Cellular Energetics,Enzymes,Catalase,Enzyme,PDB,1DGF,https://files.rcsb.org/download/1DGF.pdb,RCSB 1DGF,Cartoon,Core,High,Liver/potato lab enzyme; breaks down H2O2.,,,
3,Cellular Energetics,Enzymes,Carbonic anhydrase,Enzyme,PDB,1CA2,https://files.rcsb.org/download/1CA2.pdb,RCSB 1CA2,Cartoon,Standard,High,One of the fastest enzymes; zinc active site.,,,
3,Cellular Energetics,Enzymes,Aspartate transcarbamoylase,Enzyme,PDB,1D09,https://files.rcsb.org/download/1D09.pdb,RCSB 1D09,Surface/Complex,Standard,High,Allosteric regulation; T and R states.,,,
3,Cellular Energetics,Enzymes,Pepsin,Enzyme,PDB,5PEP,https://files.rcsb.org/download/5PEP.pdb,RCSB 5PEP,Cartoon,Standard,High,Acid-optimal enzyme - pH and enzyme activity.,,,
4,Cell Communication & Cell Cycle,Ligands,Epinephrine,Signal molecule,PubChem,epinephrine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/epinephrine/record/SDF/?record_type=3d,PubChem: epinephrine,Ball-and-stick,Core,Verified · C9H13NO3,Canonical GPCR ligand; fight-or-flight cascade.,5816,yes,pinned (1)
4,Cell Communication & Cell Cycle,Ligands,Norepinephrine,Signal molecule,PubChem,norepinephrine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/norepinephrine/record/SDF/?record_type=3d,PubChem: norepinephrine,Ball-and-stick,Extended,Verified · C8H11NO3,One methyl group different from epinephrine.,439260,yes,pinned (1)
4,Cell Communication & Cell Cycle,Ligands,Acetylcholine,Signal molecule,PubChem,acetylcholine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/acetylcholine/record/SDF/?record_type=3d,PubChem: acetylcholine,Ball-and-stick,Core,Verified · C7H16NO2+,Neurotransmitter at the neuromuscular junction.,187,yes,pinned (achiral)
4,Cell Communication & Cell Cycle,Ligands,Dopamine,Signal molecule,PubChem,dopamine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/dopamine/record/SDF/?record_type=3d,PubChem: dopamine,Ball-and-stick,Standard,Verified · C8H11NO2,Catecholamine family with epinephrine.,681,yes,pinned (achiral)
4,Cell Communication & Cell Cycle,Ligands,Serotonin,Signal molecule,PubChem,serotonin,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/serotonin/record/SDF/?record_type=3d,PubChem: serotonin,Ball-and-stick,Standard,Verified · C10H12N2O,Derived from tryptophan - link to Unit 1.,5202,yes,pinned (achiral)
4,Cell Communication & Cell Cycle,Ligands,GABA,Signal molecule,PubChem,gamma-aminobutyric acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/gamma-aminobutyric%20acid/record/SDF/?record_type=3d,PubChem: gamma-aminobutyric acid,Ball-and-stick,Extended,Verified · C4H9NO2,Inhibitory neurotransmitter.,119,yes,pinned (achiral)
4,Cell Communication & Cell Cycle,Ligands,Nitric oxide,Signal molecule,PubChem,nitric oxide,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/nitric%20oxide/record/SDF/?record_type=3d,PubChem: nitric oxide,Ball-and-stick,Standard,Verified (no 3D) · NO,Gas that diffuses straight through membranes.,145068,no,pinned (achiral)
4,Cell Communication & Cell Cycle,Ligands,Ethylene,Plant hormone,PubChem,ethylene,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ethylene/record/SDF/?record_type=3d,PubChem: ethylene,Ball-and-stick,Standard,Verified · C2H4,Fruit ripening; simplest plant hormone.,6325,yes,pinned (achiral)
4,Cell Communication & Cell Cycle,Ligands,Auxin (IAA),Plant hormone,PubChem,indole-3-acetic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/indole-3-acetic%20acid/record/SDF/?record_type=3d,PubChem: indole-3-acetic acid,Ball-and-stick,Standard,Verified · C10H9NO2,Phototropism and gravitropism.,802,yes,pinned (achiral)
4,Cell Communication & Cell Cycle,Ligands,Abscisic acid,Plant hormone,PubChem,abscisic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/abscisic%20acid/record/SDF/?record_type=3d,PubChem: abscisic acid,Ball-and-stick,Extended,Verified · C15H20O4,Stomatal closure under drought stress.,5280896,yes,pinned (1)
4,Cell Communication & Cell Cycle,Ligands,Gibberellic acid,Plant hormone,PubChem,gibberellic acid,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/gibberellic%20acid/record/SDF/?record_type=3d,PubChem: gibberellic acid,Ball-and-stick,Extended,Verified · C19H22O6,"Stem elongation, germination.",6466,yes,pinned (8)
4,Cell Communication & Cell Cycle,Ligands,Thyroxine (T4),Hormone,PubChem,thyroxine,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/thyroxine/record/SDF/?record_type=3d,PubChem: thyroxine,Ball-and-stick,Extended,Verified · C15H11I4NO4,Iodinated hormone; metabolic rate.,5819,yes,pinned (1)
4,Cell Communication & Cell Cycle,Second messengers,Cyclic AMP,Second messenger,PubChem,cyclic AMP,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cyclic%20AMP/record/SDF/?record_type=3d,PubChem: cyclic AMP,Ball-and-stick,Core,Verified · C10H12N5O6P,"Amplification step - one ligand, many cAMP.",6076,yes,pinned (4)
4,Cell Communication & Cell Cycle,Second messengers,Cyclic GMP,Second messenger,PubChem,cyclic GMP,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cyclic%20GMP/record/SDF/?record_type=3d,PubChem: cyclic GMP,Ball-and-stick,Extended,Verified (no 3D) · C10H12N5O7P,Vision and smooth muscle signaling.,135398570,no,pinned (4)
4,Cell Communication & Cell Cycle,Second messengers,IP3,Second messenger,PubChem,"inositol 1,4,5-trisphosphate",https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/inositol%201%2C4%2C5-trisphosphate/record/SDF/?record_type=3d,"PubChem: inositol 1,4,5-trisphosphate",Ball-and-stick,Standard,Verified · C6H15O15P3,Triggers Ca2+ release from the ER.,439456,yes,pinned (6)
4,Cell Communication & Cell Cycle,Second messengers,Diacylglycerol,Second messenger,PubChem,diacylglycerol,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/diacylglycerol/record/SDF/?record_type=3d,PubChem: diacylglycerol,Ball-and-stick,Extended,Verified (no 3D) · C37H70O5,Membrane-bound partner of IP3.,6026790,no,1 UNDEFINED
4,Cell Communication & Cell Cycle,Receptors,Insulin,Hormone,PDB,4INS,https://files.rcsb.org/download/4INS.pdb,RCSB 4INS,Cartoon,Core,High,"Two chains, disulfide-linked. Quaternary structure example.",,,
4,Cell Communication & Cell Cycle,Receptors,Beta-2 adrenergic receptor,Receptor,PDB,2RH1,https://files.rcsb.org/download/2RH1.pdb,RCSB 2RH1,Cartoon,Core,High,7-transmembrane GPCR; ligand-binding pocket.,,,
4,Cell Communication & Cell Cycle,Receptors,Heterotrimeric G protein,Protein,PDB,1GOT,https://files.rcsb.org/download/1GOT.pdb,RCSB 1GOT,Cartoon,Standard,High,"Alpha, beta, gamma subunits; GDP/GTP switch.",,,
4,Cell Communication & Cell Cycle,Receptors,Protein kinase A,Enzyme,PDB,1ATP,https://files.rcsb.org/download/1ATP.pdb,RCSB 1ATP,Cartoon,Standard,High,Phosphorylation cascade step; ATP in the active site.,,,
4,Cell Communication & Cell Cycle,Receptors,Ras GTPase,Protein,PDB,5P21,https://files.rcsb.org/download/5P21.pdb,RCSB 5P21,Cartoon,Standard,High,Molecular switch; mutated in many cancers.,,,
4,Cell Communication & Cell Cycle,Receptors,Nicotinic acetylcholine receptor,Receptor,PDB,2BG9,https://files.rcsb.org/download/2BG9.pdb,RCSB 2BG9,Surface/Complex,Standard,High,Ligand-gated ion channel - receptor and channel in one.,,,
4,Cell Communication & Cell Cycle,Receptors,Estrogen receptor + estradiol,Receptor,PDB,1ERE,https://files.rcsb.org/download/1ERE.pdb,RCSB 1ERE,Cartoon,Core,High,Intracellular receptor - contrast with membrane GPCRs.,,,
4,Cell Communication & Cell Cycle,Receptors,Calmodulin (Ca2+-bound),Protein,PDB,1CLL,https://files.rcsb.org/download/1CLL.pdb,RCSB 1CLL,Cartoon,Standard,High,Calcium sensor; dramatic conformational change.,,,
4,Cell Communication & Cell Cycle,Cell cycle,Cyclin A - CDK2,Complex,PDB,1FIN,https://files.rcsb.org/download/1FIN.pdb,RCSB 1FIN,Cartoon,Core,High,Checkpoint control; cyclin levels drive the cycle.,,,
4,Cell Communication & Cell Cycle,Cell cycle,p53 bound to DNA,Protein,PDB,1TUP,https://files.rcsb.org/download/1TUP.pdb,RCSB 1TUP,Cartoon,Core,High,Tumor suppressor; most-mutated protein in cancer.,,,
4,Cell Communication & Cell Cycle,Cell cycle,Retinoblastoma protein (Rb),Protein,PDB,1GUX,https://files.rcsb.org/download/1GUX.pdb,RCSB 1GUX,Cartoon,Extended,High,G1 checkpoint brake.,,,
4,Cell Communication & Cell Cycle,Cell cycle,Caspase-3,Enzyme,PDB,1CP3,https://files.rcsb.org/download/1CP3.pdb,RCSB 1CP3,Cartoon,Extended,High,Apoptosis executioner.,,,
4,Cell Communication & Cell Cycle,Cell cycle,Paclitaxel (Taxol),Drug,PubChem,paclitaxel,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/paclitaxel/record/SDF/?record_type=3d,PubChem: paclitaxel,Ball-and-stick,Standard,Verified (no 3D) · C47H51NO14,Stabilizes microtubules - blocks mitosis. Overlay on tubulin.,36314,no,pinned (11)
5,Heredity,Chromatin,Nucleosome core particle,Complex,PDB,1AOI,https://files.rcsb.org/download/1AOI.pdb,RCSB 1AOI,Surface/Complex,Core,High,147 bp DNA wrapped 1.7 turns around a histone octamer.,,,
5,Heredity,Chromatin,Histone H3,Protein,PDB,1AOI,https://files.rcsb.org/download/1AOI.pdb,RCSB 1AOI,Cartoon,Standard,High,Isolate chain A; show the flexible tail.,,,
5,Heredity,Chromatin,Acetylated histone tail,Protein,Model,H3 tail + acetyl-lysine,-- build in app --,-- build in app --,Built in-app,Standard,n/a,"Epigenetics: charge neutralized, chromatin loosens.",,,
